,A,B,Ratio
1436,Bachelor of Engineering Honours (Biomedical Engineering),Engineering ,100
1437,Bachelor of Engineering Honours (Biomedical),Engineering ,100
1438,Bachelor of Engineering Honours (Chemical and Biomolecular Engineering),Engineering ,100
1439,Bachelor of Engineering Honours (Chemical and Biomolecular),Engineering ,100
1440,Bachelor of Engineering Honours (Civil),Engineering ,100
1441,Bachelor of Engineering Honours (Civil) and Bachelor of Design in Architecture,Architecture,100
1442,Bachelor of Engineering Honours (Civil) and Bachelor of Design in Architecture,Design,100
1443,Bachelor of Engineering Honours (Civil) and Bachelor of Design in Architecture,Engineering ,100
1444,Bachelor of Engineering Honours (Civil)/Bachelor of Design in Architecture,Architecture,100
1445,Bachelor of Engineering Honours (Civil)/Bachelor of Design in Architecture,Design,100
1446,Bachelor of Engineering Honours (Civil)/Bachelor of Design in Architecture,Engineering ,100
1447,Bachelor of Engineering Honours (Electrical Engineering),Electrical,100
1448,Bachelor of Engineering Honours (Electrical Engineering),Engineering ,100
1449,Bachelor of Engineering Honours (Electrical),Electrical,100
1450,Bachelor of Engineering Honours (Electrical),Engineering ,100
1451,Bachelor of Engineering Honours (Flexible First Year),Engineering ,100
1452,Bachelor of Engineering Honours (Mechanical),Engineering ,100
1453,Bachelor of Engineering Honours (Mechanical),Mechanical,100
1454,Bachelor of Engineering Honours (Mechatronic),Engineering ,100
1455,Bachelor of Engineering Honours (Software),Engineering ,100
1456,Bachelor of Engineering Honours (Software),Software,100
1457,Bachelor of Engineering Honours and Bachelor of Commerce,Engineering ,100
1458,Bachelor of Engineering Honours and Bachelor of Project Management,Engineering ,100
1459,Bachelor of Engineering Honours and Bachelor of Project Management,Management,100
1460,Bachelor of Engineering Honours and Bachelor of Science (Health),Engineering ,100
1461,Bachelor of Engineering Honours and Bachelor of Science (Health),Science,100
1462,Bachelor of Engineering Honours and Bachelor of Science (Medical Science),Engineering ,100
1463,Bachelor of Engineering Honours and Bachelor of Science (Medical Science),Science,100
1464,Bachelor of Engineering Honours with Space Engineering,Engineering ,100
1465,Bachelor of Engineering Honours with Space Engineering major,Engineering ,100
1466,Bachelor of Engineering Science,Engineering ,100
1467,Bachelor of Engineering Science,Science,100
1468,Bachelor of Environment Planning (Environment Science and Resource Planning),Science,100
1469,Bachelor of Environment Planning (Environment Science and Resource Planning),Environment,100
1470,Bachelor of Environment Studies,Environment,100
1471,Bachelor of Exercise Science,Science,100
1472,Bachelor of Finance,Finance,100
1473,Bachelor of Finance (Finance),Finance,100
1474,Bachelor of Food Technology (Honours),Technology,100
1475,Bachelor of Food Technology (Honours) - Food Product Technology,Technology,100
1476,Bachelor of Genetics,Genetics,100
1477,Bachelor of Health Science,Science,100
1478,Bachelor of Health Science (Midwifery),Science,100
1479,Bachelor of Health Science (Nursing),Nursing,100
1480,Bachelor of Health Science (Nursing),Science,100
1481,Bachelor of Health Science (Occupational Therapy),Science,100
1482,Bachelor of Health Science (Occupational Therapy),Therapy,100
1483,Bachelor of Health Science (Oral Health),Science,100
1484,Bachelor of Health Science (Physiotherapy),Science,100
1485,Bachelor of Health Science (Physiotherapy),Physiotherapy,100
1486,Bachelor of Health Sciences (Health Management Major),Management,100
1487,Bachelor of Health Sciences (Health Management),Management,100
1488,Bachelor of Health Sciences (Nutrition Major),Nutrition,100
1489,Bachelor of Health Sciences (Nutrition),Nutrition,100
1490,Bachelor of Health Sciences (Therapy Studies Major),Therapy,100
1491,Bachelor of Health Sciences (Therapy Studies),Therapy,100
1492,Bachelor of Human Nutrition,Nutrition,100
1493,Bachelor of Information Technology,Information,100
1494,Bachelor of Information Technology,Technology,100
1495,Bachelor of Information Technology (Computational Foundations),Information,100
1496,Bachelor of Information Technology (Computational Foundations),Technology,100
1497,Bachelor of Information Technology (Computer Engineering),Engineering ,100
1498,Bachelor of Information Technology (Computer Engineering),Information,100
1499,Bachelor of Information Technology (Computer Engineering),Technology,100
1500,Bachelor of Information Technology (Digital Health Systems) (Honours),Digital,100
1501,Bachelor of Information Technology (Digital Health Systems) (Honours),Information,100
1502,Bachelor of Information Technology (Digital Health Systems) (Honours),Systems,100
1503,Bachelor of Information Technology (Digital Health Systems) (Honours),Technology,100
1504,Bachelor of Information Technology (Digital Media),Digital,100
1505,Bachelor of Information Technology (Digital Media),Information,100
1506,Bachelor of Information Technology (Digital Media),Media,100
1507,Bachelor of Information Technology (Digital Media),Technology,100
1508,Bachelor of Information Technology (Honours),Information,100
1509,Bachelor of Information Technology (Honours),Technology,100
1510,Bachelor of Information Technology (Human-Centric Computing),Computing,100
1511,Bachelor of Information Technology (Human-Centric Computing),Information,100
1512,Bachelor of Information Technology (Human-Centric Computing),Technology,100
1513,Bachelor of Information Technology (Information Systems),Information,100
1514,Bachelor of Information Technology (Information Systems),Systems,100
1515,Bachelor of Information Technology (Information Systems),Technology,100
1516,Bachelor of Information Technology (Intelligent Systems),Information,100
1517,Bachelor of Information Technology (Intelligent Systems),Systems,100
1518,Bachelor of Information Technology (Intelligent Systems),Technology,100
1519,Bachelor of Information Technology (Intelligent Systems),Intelligent,100
1520,Bachelor of Information Technology (Network and Cybersecurity Systems),Information,100
1521,Bachelor of Information Technology (Network and Cybersecurity Systems),Systems,100
1522,Bachelor of Information Technology (Network and Cybersecurity Systems),Technology,100
1523,Bachelor of Information Technology (Network and Cybersecurity Systems) (Honours),Information,100
1524,Bachelor of Information Technology (Network and Cybersecurity Systems) (Honours),Systems,100
1525,Bachelor of Information Technology (Network and Cybersecurity Systems) (Honours),Technology,100
1526,Bachelor of Information Technology (Software Development),Information,100
1527,Bachelor of Information Technology (Software Development),Software,100
1528,Bachelor of Information Technology (Software Development),Technology,100
1529,Bachelor of International Business,Business,100
1530,Bachelor of International Business ,Business,100
1531,Bachelor of International Hospitality Management,Management,100
1532,Bachelor of International Hospitality Management  BIHM - Hospitality,Management,100
1533,Bachelor of International Hospitality Management  BIHM - Travel Management,Management,100
