,A,B,Ratio
5050,MS Information Systems,Systems,100
5051,MS Management Engineering,Engineering ,100
5052,MS Management Engineering,Management,100
5053,MS Mechanical Engineering,Engineering ,100
5054,MS Mechanical Engineering,Mechanical,100
5055,MS Nutrition,Nutrition,100
5056,MS Pharmaceutics - Cosmetic Science,Science,100
5057,MS Pharmaceutics - Industrial Pharmacy,Pharmacy,100
5058,MS Pharmaceutics - Industrial Pharmacy,Industrial,100
5059,MS Pharmacology / Toxicology,Toxicology,100
5060,MS Statistics,Statistics,100
5061,MS Technical Project Management,Management,100
5062,MSA Accounting,Accounting,100
5063,MSc    International Management,Management,100
5064,MSc  5G Advanced Communications,Communications,100
5065,MSc  Accountancy and Finance,Finance,100
5066,MSc  Accounting and Finance,Accounting,100
5067,MSc  Accounting and Finance,Finance,100
5068,MSc  Advanced Computer Science,Science,100
5069,MSc  Advanced Mechanical Engineering,Engineering ,100
5070,MSc  Advanced Mechanical Engineering,Mechanical,100
5071,MSc  Artificial Intelligence and Adaptive Systems,Intelligence,100
5072,MSc  Artificial Intelligence and Adaptive Systems,Systems,100
5073,MSc  Banking & Finance,Banking,100
5074,MSc  Banking & Finance,Finance,100
5075,MSc  Banking and Finance,Banking,100
5076,MSc  Banking and Finance,Finance,100
5077,MSc  Business Analytics,Analytics,100
5078,MSc  Business Analytics,Business,100
5079,MSc  Business Analytics (with Placement Year),Analytics,100
5080,MSc  Business Analytics (with Placement Year),Business,100
5081,MSc  Civil Engineering,Engineering ,100
5082,MSc  Computer Science,Science,100
5083,MSc  Developmental Psychology in Research and Practice,Psychology,100
5084,MSc  Economics,Economics,100
5085,MSc  Economics & Finance,Economics,100
5086,MSc  Economics & Finance,Finance,100
5087,MSc - Electronic and Electrical Engineering,Electrical,100
5088,MSc - Electronic and Electrical Engineering,Engineering ,100
5089,MSc - Electronic and Electrical Engineering ,Electrical,100
5090,MSc - Electronic and Electrical Engineering ,Engineering ,100
5091,MSc  Engineering Business Management,Business,100
5092,MSc  Engineering Business Management,Engineering ,100
5093,MSc  Engineering Business Management,Management,100
5094,MSc  Engineering Project Management,Engineering ,100
5095,MSc  Engineering Project Management,Management,100
5096,MSc  Entrepreneurship and Innovation,Innovation,100
5097,MSc  Entrepreneurship and Innovation,Entrepreneurship,100
5098,MSc  Environmental Psychology,Psychology,100
5099,MSc  Finance (Finance and Investment) (alternative degree option:MSc Economics),Economics,100
5100,MSc  Finance (Finance and Investment) (alternative degree option:MSc Economics),Finance,100
5101,MSc  Finance and Accounting,Accounting,100
5102,MSc  Finance and Accounting,Finance,100
5103,MSc  Human Resource Management,Management,100
5104,MSc  International Business,Business,100
5105,MSc  International Business & Strategy,Business,100
5106,MSc  International Business and Management,Business,100
5107,MSc  International Business and Management,Management,100
5108,MSc  International Business Management,Business,100
5109,MSc  International Business Management,Management,100
